"Total Time","Mean Performance","Wallclock Time","Incumbent ID","Automatic Configurator Time","Configuration..."
0.1000, 100000000, 0.0006, 0, 0.1000, coolFactor='0.03', startTemp='500'
0.5484, 61.0, 2.4394, 0, 0.1000, coolFactor='0.03', startTemp='500'
19.2640, 4379.0, 31.2879, 0, 0.1200, coolFactor='0.03', startTemp='500'
306.5279, 4348.5, 337.2357, 9, 0.1400, coolFactor='0.018', startTemp='500'
327.1231, 4182.166666666666, 361.4083, 10, 0.1400, coolFactor='0.021', startTemp='500'
333.2644, 3086.6484444444436, 369.2874, 10, 0.1500, coolFactor='0.021', startTemp='500'
1139.6456, 2323.9363333333326, 1209.5964, 10, 0.2000, coolFactor='0.021', startTemp='500'
1191.6878, 4957.782399999999, 1264.8260, 10, 0.2200, coolFactor='0.021', startTemp='500'
1192.6622, 4136.151999999999, 1266.4875, 10, 0.2200, coolFactor='0.021', startTemp='500'
1200.5662, 3682.179428571428, 1276.2199, 10, 0.2200, coolFactor='0.021', startTemp='500'
1201.2550, 3226.3819999999996, 1279.9191, 10, 0.2200, coolFactor='0.021', startTemp='500'
1208.9298, 2974.3777777777777, 1288.3880, 10, 0.2200, coolFactor='0.021', startTemp='500'
1228.8946, 3522.3399999999992, 1310.2644, 10, 0.2300, coolFactor='0.021', startTemp='500'
1234.8070, 3284.3610909090903, 1318.9675, 10, 0.2300, coolFactor='0.021', startTemp='500'
1235.4171, 3015.747666666666, 1320.2510, 10, 0.2300, coolFactor='0.021', startTemp='500'
1236.4528, 2786.536307692307, 1323.0537, 10, 0.2300, coolFactor='0.021', startTemp='500'
1289.0025, 3696.2241904761904, 1378.7106, 10, 0.2300, coolFactor='0.021', startTemp='500'
1289.0025, 3696.2241904761904, 1378.7116, 10, 0.2300, coolFactor='0.021', startTemp='500'
2009.6906, 3510.1140444444445, 2197.7491, 10, 0.3800, coolFactor='0.021', startTemp='500'
2035.1062, 3824.6902499999997, 2226.8818, 10, 0.3900, coolFactor='0.021', startTemp='500'
2054.4615, 3601.4143529411763, 2249.7734, 10, 0.3900, coolFactor='0.021', startTemp='500'
2063.0924, 3454.5771111111108, 2261.1959, 10, 0.3900, coolFactor='0.021', startTemp='500'
2070.9169, 3275.9677894736838, 2272.5083, 10, 0.4000, coolFactor='0.021', startTemp='500'
2123.6988, 3887.3443999999995, 2329.2945, 10, 0.4100, coolFactor='0.021', startTemp='500'
2860.2674, 3703.9375238095236, 3089.0254, 10, 0.4600, coolFactor='0.021', startTemp='500'
2861.9520, 3537.2130909090906, 3094.1331, 10, 0.4700, coolFactor='0.021', startTemp='500'
2863.4461, 3386.0733913043478, 3099.0562, 10, 0.4700, coolFactor='0.021', startTemp='500'
