"Total Time","Mean Performance","Wallclock Time","Incumbent ID","Automatic Configurator Time","Configuration..."
0.3607, 100000000, 0.0007, 0, 0.3607, coolFactor='0.003', startTemp='1000'
7.7208, 7.357847690582275, 10.4363, 0, 0.3630, coolFactor='0.003', startTemp='1000'
10.9922, 3.269786834716797, 14.5901, 1, 0.3646, coolFactor='0.006', startTemp='500'
12.0150, 1.021928071975708, 16.5191, 2, 0.3655, coolFactor='0.021', startTemp='1000'
13.7801, 0.7308976650238037, 19.1696, 4, 0.3677, coolFactor='0.03', startTemp='750'
44.4246, 15.31635069847107, 52.7219, 4, 0.3696, coolFactor='0.03', startTemp='750'
110.2972, 14.27795684337616, 130.0302, 15, 0.3823, coolFactor='0.03', startTemp='500'
118.1919, 12.149874051411947, 139.8978, 15, 0.3833, coolFactor='0.03', startTemp='500'
119.0269, 9.32086843252182, 141.6669, 15, 0.3844, coolFactor='0.03', startTemp='500'
198.4139, 23.3336359500885, 221.3069, 15, 0.3867, coolFactor='0.03', startTemp='500'
199.4459, 19.616560459136963, 223.2658, 15, 0.3875, coolFactor='0.03', startTemp='500'
210.0541, 18.329503842762538, 235.8495, 15, 0.3885, coolFactor='0.03', startTemp='500'
210.8607, 16.1390121281147, 237.5491, 15, 0.3895, coolFactor='0.03', startTemp='500'
343.1353, 15.561756663852268, 382.5215, 15, 0.4030, coolFactor='0.03', startTemp='500'
371.7223, 16.86415696144104, 411.1812, 15, 0.4043, coolFactor='0.03', startTemp='500'
379.7234, 16.05833066593517, 420.1890, 15, 0.4053, coolFactor='0.03', startTemp='500'
380.4020, 14.77658611536026, 422.7736, 15, 0.4064, coolFactor='0.03', startTemp='500'
381.5573, 13.728706910060001, 424.8907, 15, 0.4076, coolFactor='0.03', startTemp='500'
457.9016, 18.201053534235275, 502.4632, 15, 0.4104, coolFactor='0.03', startTemp='500'
465.9346, 17.523106129964194, 511.4737, 15, 0.4115, coolFactor='0.03', startTemp='500'
494.5374, 18.21550317108631, 540.1434, 15, 0.4128, coolFactor='0.03', startTemp='500'
495.6648, 17.210251695969525, 542.2144, 15, 0.4140, coolFactor='0.03', startTemp='500'
506.2923, 16.844468037287395, 554.8941, 15, 0.4154, coolFactor='0.03', startTemp='500'
506.2931, 16.844468037287395, 554.8948, 15, 0.4162, coolFactor='0.03', startTemp='500'
1187.4197, 15.993025779724121, 1265.4822, 15, 0.4702, coolFactor='0.03', startTemp='500'
1263.5308, 18.99879195690155, 1342.8553, 15, 0.4729, coolFactor='0.03', startTemp='500'
